term,estimate,cluster_robust_se,z_statistic,normal_approx_p_value,ci_95_lower_cluster_t,ci_95_upper_cluster_t
const,1.0251274162409663,0.18543183609046923,5.528324789605292,3.233030928664088e-08,0.6452875188770437,1.4049673136048888
log_count_parties,0.4049439674007502,0.11806374224632644,3.4298757577570353,0.0006038576799400253,0.1631013545963021,0.6467865802051984
single_member,-0.11482235720011262,0.1509438787405296,-0.7606956847683146,0.4468388528606898,-0.42401687642248903,0.19437216202226376
lagged_dispersion,0.2623690840157209,0.05486513500949785,4.782073059153167,1.7349659519480594e-06,0.14998294962670516,0.37475521840473663
