case,phi,agent_Y,reference_Y,abs_diff_Y,agent_w,reference_w,abs_diff_w,agent_R,reference_R,abs_diff_R,agent_wage_bill,reference_wage_bill,abs_diff_wage_bill,agent_capital_income,reference_capital_income,abs_diff_capital_income
left,0.0,1.0,1.0,0.0,-1.0,1.0,2.0,-0.0,0.0,0.0,-1.0,1.0,2.0,-0.0,0.0,0.0
left,0.002,1.0040079999357434,1.0040079999357434,0.0,-1.0040039678074877,1.0040039678074877,2.0080079356149754,-4.032128255739887e-06,4.032128255739887e-06,8.064256511479774e-06,-1.0040039678074877,1.0040039678074877,2.0080079356149754,-4.032128255739887e-06,4.032128255739887e-06,8.064256511479774e-06
left,0.004,1.0080319989677753,1.0080319989677753,0.0,-1.0080157409116004,1.0080157409116004,2.016031481823201,-1.6258056175087503e-05,1.6258056175087503e-05,3.2516112350175006e-05,-1.0080157409116004,1.0080157409116004,2.016031481823201,-1.6258056175087503e-05,1.6258056175087503e-05,3.2516112350175006e-05
left,0.006,1.0120719947534187,1.0120719947534187,0.0,-1.0120351203234061,1.0120351203234061,2.0240702406468123,-3.68744300123099e-05,3.68744300123099e-05,7.37488600246198e-05,-1.0120351203234061,1.0120351203234061,2.0240702406468123,-3.68744300123099e-05,3.68744300123099e-05,7.37488600246198e-05
left,0.008,1.0161279833517591,1.0161279833517591,0.0,-1.016061902322732,1.016061902322732,2.032123804645464,-6.608102902723283e-05,6.608102902723283e-05,0.00013216205805446565,-1.016061902322732,1.016061902322732,2.032123804645464,-6.608102902723283e-05,6.608102902723283e-05,0.00013216205805446565
left,0.01,1.0201999591920017,1.0201999591920017,0.0,-1.020095878396328,1.020095878396328,2.040191756792656,-0.00010408079567353619,0.00010408079567353619,0.00020816159134707239,-1.020095878396328,1.020095878396328,2.040191756792656,-0.00010408079567353619,0.00010408079567353619,0.00020816159134707239
left,0.012,1.0242879150414632,1.0242879150414632,0.0,-1.0241368351759257,1.0241368351759257,2.0482736703518514,-0.00015107986553759823,0.00015107986553759823,0.00030215973107519645,-1.0241368351759257,1.0241368351759257,2.0482736703518514,-0.00015107986553759823,0.00015107986553759823,0.00030215973107519645
left,0.014,1.028391841973196,1.028391841973196,0.0,-1.0281845543761914,1.0281845543761914,2.0563691087523828,-0.00020728759700485656,0.00020728759700485656,0.0004145751940097131,-1.0281845543761914,1.0281845543761914,2.0563691087523828,-0.00020728759700485656,0.00020728759700485656,0.0004145751940097131
left,0.016,1.032511729333245,1.032511729333245,0.0,-1.032238812732615,1.032238812732615,2.06447762546523,-0.00027291660062994644,0.00027291660062994644,0.0005458332012598929,-1.032238812732615,1.032238812732615,2.06447762546523,-0.00027291660062994644,0.00027291660062994644,0.0005458332012598929
left,0.018000000000000002,1.036647564707541,1.036647564707541,0.0,-1.036299381939355,1.036299381939355,2.07259876387871,-0.00034818276818616056,0.00034818276818616056,0.0006963655363723211,-1.036299381939355,1.036299381939355,2.07259876387871,-0.00034818276818616056,0.00034818276818616056,0.0006963655363723211
left,0.02,1.0407993338884265,1.0407993338884265,0.0,-1.0403660285870575,1.0403660285870575,2.080732057174115,-0.00043330530136903697,0.00043330530136903697,0.0008666106027380739,-1.0403660285870575,1.0403660285870575,2.080732057174115,-0.00043330530136903697,0.00043330530136903697,0.0008666106027380739
left,0.022,1.0449670208408222,1.0449670208408222,0.0,-1.044438514100694,1.044438514100694,2.088877028201388,-0.0005285067401281524,0.0005285067401281524,0.0010570134802563049,-1.044438514100694,1.044438514100694,2.088877028201388,-0.0005285067401281524,0.0005285067401281524,0.0010570134802563049
left,0.024,1.049150607668032,1.049150607668032,0.0,-1.0485165946774315,1.0485165946774315,2.097033189354863,-0.0006340129906004357,0.0006340129906004357,0.0012680259812008713,-1.0485165946774315,1.0485165946774315,2.097033189354863,-0.0006340129906004357,0.0006340129906004357,0.0012680259812008713
