latent_class,assigned_label,n_hard_assigned,weighted_class_proportion,evolution_endorsement_rate,religiosity_label_score,non_evolution_science_score
1,post_secular,528,0.23683522091758402,0.03787878787878788,1.7067550505050506,0.7233270202020202
2,traditional,910,0.3967705313961643,0.4076923076923077,1.548168498168498,0.5016483516483518
3,modern,831,0.36639424768625173,0.8784596871239471,1.111411953469715,0.8421580425190532
