term,coefficient,cluster_robust_se,wald_t,p_value_two_sided_t_df_clusters_minus_1,p_value_one_sided_negative_t_df_clusters_minus_1
const,-4.090821481592501,0.6709085882279553,-6.097434961143407,0.0017175308506681172,0.0008587654253340586
sigact_5r,21.221779159903175,5.071868706201949,4.184213036499328,0.008619805803658374,0.004309902901829187
violence_squared,-92.43749730260461,37.331784627874654,-2.4761071088357234,0.056108266903313955,0.028054133451656978
pcx,-0.0015800113263641346,0.011337701182729788,-0.13935905532339263,0.894605793829746,0.447302896914873
electric,1.5388167912658421,0.4024830073623892,3.8233087189201913,0.012331462084826597,0.006165731042413298
pcexpend,-0.0006791023748612141,0.0661905041870517,-0.010259815712267398,0.9922107746225854,0.4961053873112927
dist,-9.370886668917077e-06,0.00036495798023616335,-0.025676618066696886,0.9805085380521348,0.4902542690260674
elevation,0.0004136638813498982,0.0001362457110640268,3.036160757790772,0.028877216907768524,0.014438608453884262
