variable,count,mean,std,min,25%,50%,75%,max
fraud,800.0,0.16,0.3668353994134542,0.0,0.0,0.0,0.0,1.0
pcx,800.0,8.295717239379883,17.708097457885742,0.0,0.0,0.0,7.142857074737549,94.7368392944336
sigact_5r,800.0,0.033978547900915146,0.0792778953909874,0.0,0.0,0.0,0.03741462901234627,0.9740259647369385
sigact_60r,800.0,0.24155209958553314,0.5537006855010986,0.0,0.0,0.061841364949941635,0.25911208987236023,7.337662220001221
pcexpend,724.0,1.574522614479065,1.1206001043319702,0.11788636445999146,0.8403345942497253,1.3489980697631836,1.9837017059326172,7.5248541831970215
electric,724.0,0.8547841906547546,0.1965075582265854,0.0,0.7949761748313904,0.9332275390625,1.0,1.0
dist,800.0,276.7266700927682,181.2964636205449,0.00042417498262237066,133.23731009688885,237.1735900737928,381.78437038654874,817.5780869830132
elevation,800.0,1874.033125,916.5095325441464,263.6,1075.225,1924.2,2561.9,4539.4
