phi,threshold,region,Y,w,R,wage_bill,capital_income,identity_gap
0.0,0.9090909090909091,1,1.0,-4.0,-0.0,-4.0,-0.0,5.0
0.002,0.9090909090909091,1,1.0025056372134529,-4.010022548853811,-1.2961166409628935e-18,-4.010022548853811,-1.2961166409628935e-17,5.0125281860672635
0.004,0.9090909090909091,1,1.0050225979161227,-4.020090391664492,-4.1999012851266015e-17,-4.020090391664492,-4.199901285126602e-16,5.025112989580615
0.006,0.9090909090909091,1,1.0075509561735723,-4.0302038246942855,-3.2296193672011315e-16,-4.0302038246942855,-3.2296193672011317e-15,5.0377547808678615
0.008,0.9090909090909091,1,1.010090786686159,-4.040363146744621,-1.3781991423681389e-15,-4.040363146744621,-1.3781991423681389e-14,5.050453933430794
0.01,0.9090909090909091,1,1.0126421647957682,-4.05056865918303,-4.259317602333445e-15,-4.05056865918303,-4.259317602333445e-14,5.0632108239788405
0.012,0.9090909090909091,1,1.0152051664926323,-4.060820665970421,-1.0733350656105394e-14,-4.060820665970421,-1.0733350656105394e-13,5.07602583246316
0.014,0.9090909090909091,1,1.0177798684222379,-4.071119473688718,-2.349467551380579e-14,-4.071119473688718,-2.349467551380579e-13,5.088899342111191
0.016,0.9090909090909091,1,1.020366347892318,-4.081465391568809,-4.6391726929886166e-14,-4.081465391568809,-4.639172692988616e-13,5.10183173946159
0.018000000000000002,0.9090909090909091,1,1.022964682879936,-4.0918587315188955,-8.466925104627465e-14,-4.0918587315188955,-8.466925104627466e-13,5.114823414399678
0.02,0.9090909090909091,1,1.0255749520386583,-4.102299808153183,-1.4522687643168285e-13,-4.102299808153183,-1.4522687643168284e-12,5.1278747601932935
0.022,0.9090909090909091,1,1.0281972347058186,-4.112788938820904,-2.3689481377007733e-13,-4.112788938820904,-2.3689481377007735e-12,5.140986173529091
0.024,0.9090909090909091,1,1.0308316109098765,-4.123326443635799,-3.7072753153532164e-13,-4.123326443635799,-3.707275315353216e-12,5.154158054549383
0.026000000000000002,0.9090909090909091,1,1.0334781613778692,-4.133912645505875,-5.603162923918627e-13,-4.133912645505875,-5.603162923918627e-12,5.1673908068893475
0.028,0.9090909090909091,1,1.0361369675429595,-4.144547870163616,-8.221214740468668e-13,-4.144547870163616,-8.221214740468668e-12,5.1806848377147965
0.03,0.9090909090909091,1,1.038808111552082,-4.155232446196568,-1.1758256389138513e-12,-4.155232446196568,-1.1758256389138513e-11,5.194040557760409
0.032,0.9090909090909091,1,1.0414916762736866,-4.165966705078299,-1.6447083593009111e-12,-4.165966705078299,-1.644708359300911e-11,5.207458381368433
0.034,0.9090909090909091,1,1.0441877453055826,-4.1767509811997705,-2.256043848980375e-12,-4.1767509811997705,-2.256043848980375e-11,5.220938726527914
0.036000000000000004,0.9090909090909091,1,1.0468964029828853,-4.187585611901125,-3.0415224980064563e-12,-4.187585611901125,-3.0415224980064566e-11,5.234482014914425
0.038,0.9090909090909091,1,1.049617734386066,-4.198470937503888,-4.037697455601677e-12,-4.198470937503888,-4.037697455601677e-11,5.248088671930331
0.04,0.9090909090909091,1,1.052351825349104,-4.209407301343551,-5.286457455913468e-12,-4.209407301343551,-5.2864574559134676e-11,5.261759126745519
0.042,0.9090909090909091,1,1.05509876246775,-4.220395049802645,-6.835527133534807e-12,-4.220395049802645,-6.835527133534807e-11,5.27549381233875
0.044,0.9090909090909091,1,1.057858633107892,-4.231434532344178,-8.738996129975837e-12,-4.231434532344178,-8.738996129975837e-11,5.289293165539459
0.046,0.9090909090909091,1,1.0606315254140362,-4.242526101545565,-1.1057878348860417e-11,-4.242526101545565,-1.1057878348860416e-10,5.3031576270701795
0.048,0.9090909090909091,1,1.0634175283178944,-4.25367011313297,-1.3860702776598527e-11,-4.25367011313297,-1.3860702776598527e-10,5.317087641589472
0.05,0.9090909090909091,1,1.0662167315470878,-4.2648669260161105,-1.7224137346754365e-11,-4.2648669260161105,-1.7224137346754365e-10,5.33108365773544
0.052000000000000005,0.9090909090909091,1,1.0690292256339642,-4.276116902323521,-2.123364739039501e-11,-4.276116902323521,-2.123364739039501e-10,5.345146128169822
0.054,0.9090909090909091,1,1.0718551019245317,-4.287420407438283,-2.5984190281476475e-11,-4.287420407438283,-2.5984190281476476e-10,5.359275509622657
0.056,0.9090909090909091,1,1.074694452587512,-4.29877781003424,-3.158094795591669e-11,-4.29877781003424,-3.158094795591669e-10,5.373472262937561
0.058,0.9090909090909091,1,1.0775473706235104,-4.31018948211264,-3.814009905553743e-11,-4.31018948211264,-3.8140099055537435e-10,5.387736853117551
0.06,0.9090909090909091,1,1.0804139498743133,-4.321655799039358,-4.578963252365744e-11,-4.321655799039358,-4.578963252365744e-10,5.4020697493715675
0.062,0.9090909090909091,1,1.0832942850323037,-4.3331771395825145,-5.467020455790911e-11,-4.3331771395825145,-5.46702045579091e-10,5.416471425161521
0.064,0.9090909090909091,1,1.086188471650007,-4.3447538859506665,-6.493604090797813e-11,-4.3447538859506665,-6.493604090797813e-10,5.430942358250034
0.066,0.9090909090909091,1,1.0890966061497622,-4.35638642383149,-7.67558865915593e-11,-4.35638642383149,-7.675588659155931e-10,5.445483030748811
0.068,0.9090909090909091,1,1.0920187858335229,-4.368075142430952,-9.031400519103744e-11,-4.368075142430952,-9.031400519103744e-10,5.4600939291676145
0.07,0.9090909090909091,1,1.0949551088927911,-4.379820434513052,-1.0581122998639287e-10,-4.379820434513052,-1.0581122998639287e-09,5.474775544463956
0.07200000000000001,0.9090909090909091,1,1.0979056744186848,-4.39162269644008,-1.234660692767524e-10,-4.39162269644008,-1.234660692767524e-09,5.4895283720934245
0.074,0.9090909090909091,1,1.1008705824121392,-4.403482328213399,-1.435158683440316e-10,-4.403482328213399,-1.435158683440316e-09,5.504352912060697
0.076,0.9090909090909091,1,1.10384993379425,-4.415399733514819,-1.662180306174208e-10,-4.415399733514819,-1.662180306174208e-09,5.51924966897125
0.078,0.9090909090909091,1,1.1068438304167532,-4.427375319748501,-1.9185130070721778e-10,-4.427375319748501,-1.918513007072178e-09,5.534219152083768
0.08,0.9090909090909091,1,1.1098523750726481,-4.439409498083421,-2.2071711209093347e-10,-4.439409498083421,-2.2071711209093345e-09,5.549261875363241
0.082,0.9090909090909091,1,1.1128756715069676,-4.45150268349646,-2.531410023538481e-10,-4.45150268349646,-2.5314100235384807e-09,5.564378357534837
0.084,0.9090909090909091,1,1.115913824427692,-4.463655294816027,-2.894740990105101e-10,-4.463655294816027,-2.894740990105101e-09,5.5795691221384605
0.08600000000000001,0.9090909090909091,1,1.1189669395168138,-4.47586775476631,-3.3009467906326315e-10,-4.47586775476631,-3.3009467906326317e-09,5.594834697584071
0.088,0.9090909090909091,1,1.1220351234415535,-4.488140490012114,-3.7540980558896424e-10,-4.488140490012114,-3.7540980558896425e-09,5.610175617207766
0.09,0.9090909090909091,1,1.1251184838657315,-4.500473931204355,-4.258570447858903e-10,-4.500473931204355,-4.258570447858902e-09,5.625592419328656
0.092,0.9090909090909091,1,1.128217129461293,-4.51286851302611,-4.819062670596062e-10,-4.51286851302611,-4.819062670596062e-09,5.641085647306465
0.094,0.9090909090909091,1,1.1313311699199946,-4.525324674239364,-5.44061535879639e-10,-4.525324674239364,-5.4406153587963895e-09,5.656655849599974
0.096,0.9090909090909091,1,1.1344607159652518,-4.537842857732376,-6.128630882983176e-10,-4.537842857732376,-6.128630882983176e-09,5.672303579826259
0.098,0.9090909090909091,1,1.1376058793641508,-4.55042351056771,-6.888894111894891e-10,-4.55042351056771,-6.888894111894891e-09,5.688029396820755
0.1,0.9090909090909091,1,1.1407667729396265,-4.563067084030913,-7.727594174382146e-10,-4.563067084030913,-7.727594174382146e-09,5.703833864698134
0.10200000000000001,0.9090909090909091,1,1.1439435105828106,-4.575774033679895,-8.651347264933651e-10,-4.575774033679895,-8.651347264933652e-09,5.719717552914053
0.10400000000000001,0.9090909090909091,1,1.1471362072655524,-4.58854481939499,-9.667220538835091e-10,-4.58854481939499,-9.667220538835091e-09,5.7356810363277635
0.106,0.9090909090909091,1,1.150344979053113,-4.601379905429696,-1.0782757144930385e-09,-4.601379905429696,-1.0782757144930385e-08,5.751724895265566
0.108,0.9090909090909091,1,1.1535699431170396,-4.614279760462157,-1.2006002446003937e-09,-4.614279760462157,-1.2006002446003937e-08,5.767849715585199
0.11,0.9090909090909091,1,1.1568112177482186,-4.627244857647342,-1.3345531478938988e-09,-4.627244857647342,-1.3345531478938988e-08,5.784056088741092
0.112,0.9090909090909091,1,1.1600689223701144,-4.640275674669981,-1.481047770903553e-09,-4.640275674669981,-1.4810477709035529e-08,5.800344611850573
0.114,0.9090909090909091,1,1.1633431775521923,-4.653372693798207,-1.6410563135193801e-09,-4.653372693798207,-1.64105631351938e-08,5.816715887760964
0.116,0.9090909090909091,1,1.1666341050235345,-4.666536401938007,-1.8156129805092748e-09,-4.666536401938007,-1.8156129805092748e-08,5.833170525117671
0.11800000000000001,0.9090909090909091,1,1.1699418276866467,-4.679767290688413,-2.005817280201834e-09,-4.679767290688413,-2.005817280201834e-08,5.849709138433233
0.12,0.9090909090909091,1,1.1732664696314612,-4.693065856397472,-2.2128374767631557e-09,-4.693065856397472,-2.2128374767631557e-08,5.866332348157307
0.122,0.9090909090909091,1,1.1766081561495394,-4.706432600219014,-2.4379142027713342e-09,-4.706432600219014,-2.437914202771334e-08,5.883040780747696
0.124,0.9090909090909091,1,1.1799670137484786,-4.719868028170273,-2.6823642390789055e-09,-4.719868028170273,-2.6823642390789054e-08,5.8998350687423935
0.126,0.9090909090909091,1,1.1833431701665214,-4.73337265119024,-2.9475844692523012e-09,-4.73337265119024,-2.9475844692523012e-08,5.916715850832606
0.128,0.9090909090909091,1,1.1867367543873784,-4.746946985198952,-3.2350560161891428e-09,-4.746946985198952,-3.235056016189143e-08,5.933683771936891
0.13,0.9090909090909091,1,1.1901478966552603,-4.760591551157554,-3.546348568839161e-09,-4.760591551157554,-3.546348568839161e-08,5.950739483276299
0.132,0.9090909090909091,1,1.1935767284901297,-4.7743068751292705,-3.883124907293752e-09,-4.7743068751292705,-3.883124907293752e-08,5.96788364245065
0.134,0.9090909090909091,1,1.1970233827031698,-4.7880934883412225,-4.24714563486273e-09,-4.7880934883412225,-4.2471456348627296e-08,5.985116913515849
0.136,0.9090909090909091,1,1.2004879934124797,-4.801951927247176,-4.640274126125919e-09,-4.801951927247176,-4.6402741261259195e-08,6.002439967062397
0.138,0.9090909090909091,1,1.2039706960589958,-4.815882733591164,-5.064481700331955e-09,-4.815882733591164,-5.064481700331955e-08,6.019853480294977
0.14,0.9090909090909091,1,1.2074716274226445,-4.829886454472046,-5.52185302991827e-09,-4.829886454472046,-5.52185302991827e-08,6.037358137113221
0.14200000000000002,0.9090909090909091,1,1.2109909256387308,-4.843963642409005,-6.014591794345027e-09,-4.843963642409005,-6.014591794345028e-08,6.054954628193653
0.14400000000000002,0.9090909090909091,1,1.214528730214566,-4.858114855407999,-6.545026589872782e-09,-4.858114855407999,-6.545026589872782e-08,6.0726436510728306
0.146,0.9090909090909091,1,1.2180851820463383,-4.872340657029183,-7.115617106369521e-09,-4.872340657029183,-7.115617106369521e-08,6.090425910231692
0.148,0.9090909090909091,1,1.2216604234362316,-4.8866416164553215,-7.728960582708524e-09,-4.8866416164553215,-7.728960582708524e-08,6.108302117181159
0.15,0.9090909090909091,1,1.2252545981097955,-4.901018308561195,-8.387798552814616e-09,-4.901018308561195,-8.387798552814616e-08,6.126272990548976
0.152,0.9090909090909091,1,1.2288678512335718,-4.915471313984047,-9.095023894934548e-09,-4.915471313984047,-9.095023894934548e-08,6.144339256167858
0.154,0.9090909090909091,1,1.23250032943298,-4.930001219195038,-9.853688197247416e-09,-4.930001219195038,-9.853688197247416e-08,6.1625016471649
0.156,0.9090909090909091,1,1.2361521808104692,-4.944608616571781,-1.0667009453495218e-08,-4.944608616571781,-1.0667009453495218e-07,6.180760904052344
0.158,0.9090909090909091,1,1.2398235549639396,-4.959294104471958,-1.1538380102902e-08,-4.959294104471958,-1.1538380102902e-07,6.199117774819699
0.16,0.9090909090909091,1,1.2435146030054358,-4.974058287307989,-1.2471375429264319e-08,-4.974058287307989,-1.2471375429264318e-07,6.217573015027179
0.162,0.9090909090909091,1,1.2472254775801217,-4.988901775622863,-1.346976233473695e-08,-4.988901775622863,-1.346976233473695e-07,6.236127387900608
0.164,0.9090909090909091,1,1.250956332885537,-5.003825186167065,-1.4537508504506599e-08,-5.003825186167065,-1.45375085045066e-07,6.2547816644276875
0.166,0.9090909090909091,1,1.254707324691143,-5.018829141976653,-1.5678791979244904e-08,-5.018829141976653,-1.5678791979244904e-07,6.2735366234557155
0.168,0.9090909090909091,1,1.2584786103581624,-5.03391427245254,-1.6898011152961108e-08,-5.03391427245254,-1.6898011152961108e-07,6.292393051790814
0.17,0.9090909090909091,1,1.2622703488597162,-5.049081213440911,-1.8199795214635404e-08,-5.049081213440911,-1.8199795214635406e-07,6.311351744298579
0.17200000000000001,0.9090909090909091,1,1.2660827008012674,-5.064330607314919,-1.958901505280888e-08,-5.064330607314919,-1.958901505280888e-07,6.330413504006337
0.17400000000000002,0.9090909090909091,1,1.26991582844137,-5.079663103057534,-2.107079464313462e-08,-5.079663103057534,-2.107079464313462e-07,6.34957914220685
0.176,0.9090909090909091,1,1.2737698957127368,-5.095079356345719,-2.265052293976129e-08,-5.095079356345719,-2.265052293976129e-07,6.3688494785636856
0.178,0.9090909090909091,1,1.2776450682436242,-5.110580029635833,-2.4333866292323714e-08,-5.110580029635833,-2.4333866292323714e-07,6.388225341218121
0.18,0.9090909090909091,1,1.2815415133795451,-5.126165792250366,-2.6126781411259268e-08,-5.126165792250366,-2.6126781411259267e-07,6.4077075668977255
0.182,0.9090909090909091,1,1.2854594002053115,-5.1418373204659575,-2.803552890515469e-08,-5.1418373204659575,-2.803552890515469e-07,6.427297001026558
0.184,0.9090909090909091,1,1.289398899567416,-5.1575952976027875,-3.006668741485696e-08,-5.1575952976027875,-3.006668741485696e-07,6.446994497837078
