term,estimate,clustered_standard_error,z_statistic,p_value_two_sided,ci_95_low,ci_95_high
median_age,-0.007656853582063255,0.0012092143489205963,-6.332089582709745,2.4186298243426275e-10,-0.010026870155536674,-0.005286837008589836
effect_of_3.5_year_age_decrease,0.026798987537221392,0.004232250221222087,,,0.018503929530064425,0.03509404554437836
