specification,n,events,pseudo_r2,education_marginal_effect,education_se,education_z,education_p_value,hypothesis_supported
without_distance,673,89,0.1036093897370759,-0.007327152076042904,0.0031709087226845932,-2.310742035437558,0.020847107908834935,True
with_distance,164,19,0.20833623279733104,-0.017829926162808332,0.005634357905642821,-3.164500101236314,0.0015534960809360076,
