specification,variable,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.
without_distance,yrs_school,-0.007327152076042904,0.0031709087226845932,-2.310742035437558,0.020847107908834935,-0.013542018970768612,-0.001112285181317195
without_distance,log_PCE,0.014228380592466337,0.017037384710690183,0.8351270358729809,0.40364618584415635,-0.01916427983123979,0.04762104101617247
without_distance,risk_preference,-0.020198392701145134,0.0166958295673229,-1.209786708692658,0.22636074765597192,-0.05292161734511697,0.012524831942826702
without_distance,time_preference,0.005452812253220143,0.01680866874105775,0.32440476620857034,0.7456316117867636,-0.027491573107317254,0.03839719761375754
without_distance,female,-0.028370374695845173,0.02461383959206182,-1.1526188179512986,0.24906687588714316,-0.0766126138175324,0.019871864425842056
without_distance,age,0.008228113286316598,0.004089361472017186,2.0120777638807903,0.044211740258163955,0.00021311208139721156,0.016243114491235985
without_distance,agesqrt,-4.2961516093167975e-05,4.2543065405075855e-05,-1.009835931757804,0.3125739020103697,-0.00012634439207904858,4.042135989271263e-05
with_distance,yrs_school,-0.017829926162808332,0.005634357905642821,-3.164500101236314,0.0015534960809360076,-0.02887306473387679,-0.006786787591739875
with_distance,log_PCE,0.028963862806579258,0.030058936987256916,0.963569098230523,0.33526200582025667,-0.029950571102003217,0.08787829671516173
with_distance,risk_preference,0.009474326295995024,0.03272369790668008,0.28952492847884936,0.772179706183561,-0.05466294304206669,0.07361159563405674
with_distance,time_preference,0.03173619626781815,0.030548277358502414,1.038886608739825,0.2988574750635855,-0.028137327144586957,0.09160971968022326
with_distance,distance,0.0012494995354067303,0.0015150927319564713,0.8247016892446082,0.4095409724261251,-0.0017200276524663514,0.004219026723279812
with_distance,female,-0.0607338686198531,0.044085099564842224,-1.3776507078207494,0.16831115698433263,-0.14713907602180626,0.02567133878210006
with_distance,age,-0.003959590622559695,0.006715888581732685,-0.5895855141685702,0.5554685657227174,-0.017122490366939542,0.009203309121820151
with_distance,agesqrt,5.429325876112757e-05,6.785902952048019e-05,0.8000889365024237,0.4236592706929482,-7.870799512485394e-05,0.00018729451264710908
