outcome,n,r_squared,trump_share_coefficient_per_unit,trump_share_95ci_per_unit,trump_share_p_value,trump_share_iqr,effect_per_iqr_percentage_points,effect_95ci_per_iqr_percentage_points,supports_preregistered_direction_and_p_lt_0_05
prop_home_change_march,155,0.8823890649644002,-20.27724068734893,"[-37.667788569058686, -2.8866928056391714]",0.022783253437454017,0.174082788820362,-3.5299186084354153,"[-6.5573136827974885, -0.5025235340733422]",True
prop_home_change_august,155,0.8107385334340574,-15.188908311067067,"[-34.91416980028794, 4.5363531781538065]",0.12964772493030072,0.174082788820362,-2.644127517927329,"[-6.077956048181785, 0.7897010123271271]",False
