plausible_value,coefficient,standard_error,z_statistic,p_value,n,n_schools
PV1MATH,-0.015689550576247824,0.009733954836987826,-1.6118372068698603,0.10699736934292235,68088,5298
PV2MATH,-0.017069215414579616,0.009760522992931944,-1.7488013118703005,0.08032536996940445,68088,5298
PV3MATH,-0.01816441156410293,0.009744670861483912,-1.8640354120012694,0.062316731560461566,68088,5298
PV4MATH,-0.020042593563675975,0.009754317054733692,-2.0547408343621005,0.039904043592403876,68088,5298
PV5MATH,-0.020322461898723415,0.00992568450207603,-2.0474620057158597,0.04061274368562463,68088,5298
