model,term,coefficient,robust_se_hc1,t_value,p_value,n,df_resid
primary_drop_wave_7,const,28.85996868582105,40.0139964160102,0.721246845373179,0.48352790321046524,28,13
primary_drop_wave_7,sd_gov,-2.906833940617866,3.4538938705548325,-0.8416106717694001,0.41521984873391676,28,13
primary_drop_wave_7,mean_gov,0.9627982587515246,1.4912844977378328,0.6456167553622516,0.5297588461022973,28,13
primary_drop_wave_7,africa,0.1464270254662314,6.983911932776205,0.02096633332087631,0.9835909044112788,28,13
primary_drop_wave_7,laam,-9.276282419078003,1.9970444978498108,-4.645005371220142,0.0004586530426102474,28,13
primary_drop_wave_7,asiae,-3.474812376662236,6.240194341532953,-0.556843615195584,0.5870932473110666,28,13
primary_drop_wave_7,col_uka,2.0619591409432534,3.7834646230693205,0.5449923142853381,0.5949854893511402,28,13
primary_drop_wave_7,col_espa,9.581614416813027,17.59084758959176,0.5446931631925641,0.5951854056808574,28,13
primary_drop_wave_7,col_otha,-0.3558035209871973,2.4887796650620038,-0.1429630456974716,0.8885114884070222,28,13
primary_drop_wave_7,federal,-4.006701248102461,2.057899814542129,-1.9469855722757474,0.07346951883121272,28,13
primary_drop_wave_7,oecd,2.3287055194863466,3.942838525607516,0.5906165074633731,0.5649044300733264,28,13
primary_drop_wave_7,log_gdp_per_capita,0.43520894786194153,1.1975486087475355,0.3634165199499566,0.722135134017986,28,13
primary_drop_wave_7,trade_share,0.014384519974369514,0.040012009865055535,0.3595050591780501,0.7249896609186633,28,13
primary_drop_wave_7,age_15_64,-0.1943534278269059,0.5367691617020282,-0.36208009269875974,0.7231099549150852,28,13
primary_drop_wave_7,age_65_plus,-0.0562741651324421,0.21881797447988954,-0.25717341213033656,0.8010705096716797,28,13
sensitivity_keep_wave_7,const,35.216426821975105,37.691637433176325,0.9343299792801644,0.36493180215316284,30,15
sensitivity_keep_wave_7,sd_gov,-2.5675773916688347,3.146884056137125,-0.8159110236875383,0.4273182115722456,30,15
sensitivity_keep_wave_7,mean_gov,0.7736348411754125,1.3043682852090062,0.5931107417652742,0.5619438161734556,30,15
sensitivity_keep_wave_7,africa,0.07557994372427147,6.654001210335384,0.01135857078097255,0.9910870620879457,30,15
sensitivity_keep_wave_7,laam,-9.189388092504286,1.9198537484323754,-4.786504232422771,0.00024016249508063603,30,15
sensitivity_keep_wave_7,asiae,-4.318848303298734,5.902701107117545,-0.7316732161977534,0.47564458779100055,30,15
sensitivity_keep_wave_7,col_uka,2.131508283509111,3.781851985242247,0.5636149409936722,0.5813450643666715,30,15
sensitivity_keep_wave_7,col_espa,10.55864057911029,15.876006086409111,0.66506906848248,0.5161023784394314,30,15
sensitivity_keep_wave_7,col_otha,-0.1731050223231536,2.2649950947866246,-0.07642622393381435,0.9400900679451748,30,15
sensitivity_keep_wave_7,federal,-4.101218713179036,1.9356846273182662,-2.118743237043186,0.051214315546555415,30,15
sensitivity_keep_wave_7,oecd,3.180525625927978,3.104131913952642,1.0246103303896192,0.3217880024692015,30,15
sensitivity_keep_wave_7,log_gdp_per_capita,0.05009697780186137,1.0945123047754395,0.045771050342042284,0.9640965391757211,30,15
sensitivity_keep_wave_7,trade_share,0.020775478341850118,0.03439145122427088,0.6040884464680094,0.5548120446434802,30,15
sensitivity_keep_wave_7,age_15_64,-0.2403523292192591,0.4853438591708579,-0.4952207072937266,0.6276200307035973,30,15
sensitivity_keep_wave_7,age_65_plus,-0.06669926808253535,0.18666544351851672,-0.3573198489516832,0.7258298788652519,30,15
