analysis,outcome,n_observations,n_village_clusters,r_squared,adjusted_r_squared,aic,bic,log_likelihood
confirmatory_raw_income_all_states,raw_inc_per_acre,2537,216,0.003439755054253313,0.0010763710741448218,33663.95076581171,33704.8219287289,-16824.975382905854
exploratory_net_income_all_states,net_inc_per_acre,2537,216,0.0018183091157020215,-0.0005489201907429297,32202.457188085944,32243.32835100314,-16094.228594042972
sensitivity_raw_income_states_2_15,raw_inc_per_acre,496,41,0.2376455092153047,0.22829146638359066,5201.425322580488,5230.871354067563,-2593.712661290244
