analysis,outcome,term,coefficient,robust_se_clustered_by_village,t_statistic,p_value,ci_95_lower,ci_95_upper,n_observations,n_village_clusters
confirmatory_raw_income_all_states,raw_inc_per_acre,Intercept,67.90158058232784,14.713866242136007,4.614802082941226,6.760913899080846e-06,38.89968030393492,96.90348086072075,2537,216
confirmatory_raw_income_all_states,raw_inc_per_acre,literate_hh,15.90860468675195,5.957759257864632,2.6702328842427714,0.008159104337478993,4.16550895407123,27.65170041943267,2537,216
confirmatory_raw_income_all_states,raw_inc_per_acre,land_owned,-0.003212242665031516,0.003097654285766847,-1.0369919844803799,0.3009044741410939,-0.009317902402203681,0.0028934170721406495,2537,216
confirmatory_raw_income_all_states,raw_inc_per_acre,locaste_land_v,5.622487072502318,8.237092830338868,0.6825814869772462,0.4956061133859667,-10.613309890585567,21.858284035590202,2537,216
confirmatory_raw_income_all_states,raw_inc_per_acre,stcode,1.4805220604550853,1.128067425308883,1.3124411070106865,0.19077069118643875,-0.7429655285799968,3.7040096494901675,2537,216
confirmatory_raw_income_all_states,raw_inc_per_acre,caste,-0.1460969294008988,0.1633477457360754,-0.8943920758903576,0.3721122819053053,-0.468064993713696,0.17587113491189837,2537,216
confirmatory_raw_income_all_states,raw_inc_per_acre,stcode:caste,-0.012494124048280153,0.013952058145050215,-0.8955040122673733,0.3715192056338492,-0.03999445552759806,0.015006207431037758,2537,216
exploratory_net_income_all_states,net_inc_per_acre,Intercept,29.576700525010644,8.922761953056636,3.314747236406847,0.0010764546561171477,11.989409182825629,47.16399186719566,2537,216
exploratory_net_income_all_states,net_inc_per_acre,literate_hh,4.992956047423438,4.35443155600664,1.1466378523130067,0.2528058144171369,-3.5898859927430804,13.575798087589956,2537,216
exploratory_net_income_all_states,net_inc_per_acre,land_owned,0.0024101412120540533,0.0024703824317738135,0.9756146178239679,0.3303518989747849,-0.002459128615248464,0.0072794110393565705,2537,216
exploratory_net_income_all_states,net_inc_per_acre,locaste_land_v,5.939691407395575,5.442657862216067,1.0913218427029938,0.2763527615882015,-4.7881090205690935,16.667491835360245,2537,216
exploratory_net_income_all_states,net_inc_per_acre,stcode,0.8293485927835575,0.6775712084657729,1.2240021158240397,0.22229103906628442,-0.506184318556937,2.164881504124052,2537,216
exploratory_net_income_all_states,net_inc_per_acre,caste,-0.10010069320782546,0.10858191921899572,-0.9218909918688697,0.35761876784190527,-0.3141220755830317,0.11392068916738078,2537,216
exploratory_net_income_all_states,net_inc_per_acre,stcode:caste,0.0012266984621955202,0.009515455269803267,0.1289164235880941,0.8975442963489937,-0.017528826448589642,0.01998222337298068,2537,216
sensitivity_raw_income_states_2_15,raw_inc_per_acre,Intercept,53.264209752632766,9.08739114686907,5.861331254678543,7.404466118350488e-07,34.89790714360859,71.63051236165694,496,41
sensitivity_raw_income_states_2_15,raw_inc_per_acre,literate_hh,-6.200883196719005,6.051617475339005,-1.0246654257292822,0.3116781717703187,-18.43165834767405,6.029891954236039,496,41
sensitivity_raw_income_states_2_15,raw_inc_per_acre,land_owned,-0.017125587833400645,0.003941018164787712,-4.34547295072494,9.263814600856847e-05,-0.025090682659003084,-0.009160493007798207,496,41
sensitivity_raw_income_states_2_15,raw_inc_per_acre,locaste_land_v,-5.2866007092040865,8.415381636002392,-0.6282068880378682,0.533439086840678,-22.294721433763865,11.72152001535569,496,41
sensitivity_raw_income_states_2_15,raw_inc_per_acre,stcode,4.59790120643963,0.7350103992525815,6.255559392241458,2.066527407160524e-07,3.112389776891049,6.083412635988211,496,41
sensitivity_raw_income_states_2_15,raw_inc_per_acre,caste,0.04342450761543686,0.03815879712869508,1.1379946665766887,0.2618932323621419,-0.033697298185058434,0.12054631341593217,496,41
sensitivity_raw_income_states_2_15,raw_inc_per_acre,stcode:caste,-0.011006366745190113,0.009929996817348104,-1.1083957978678853,0.27431114434384046,-0.031075638938551982,0.009062905448171758,496,41
