phi,threshold,region,Y,w,R,wage_bill,capital_income,identity_gap
0.0,0.5,1,1.0,-1.0,-0.0,-1.0,-0.0,2.0
0.002,0.5,1,1.0040079999357434,-1.0040039678074877,-4.032128255739887e-06,-1.0040039678074877,-4.032128255739887e-06,2.008015999871487
0.004,0.5,1,1.0080319989677753,-1.0080157409116004,-1.6258056175087503e-05,-1.0080157409116004,-1.6258056175087503e-05,2.016063997935551
0.006,0.5,1,1.0120719947534187,-1.0120351203234061,-3.68744300123099e-05,-1.0120351203234061,-3.68744300123099e-05,2.024143989506837
0.008,0.5,1,1.0161279833517591,-1.016061902322732,-6.608102902723283e-05,-1.016061902322732,-6.608102902723283e-05,2.0322559667035183
0.01,0.5,1,1.0201999591920017,-1.020095878396328,-0.00010408079567353619,-1.020095878396328,-0.00010408079567353619,2.0403999183840034
0.012,0.5,1,1.0242879150414632,-1.0241368351759257,-0.00015107986553759823,-1.0241368351759257,-0.00015107986553759823,2.0485758300829264
0.014,0.5,1,1.028391841973196,-1.0281845543761914,-0.00020728759700485656,-1.0281845543761914,-0.00020728759700485656,2.056783683946392
0.016,0.5,1,1.032511729333245,-1.032238812732615,-0.00027291660062994644,-1.032238812732615,-0.00027291660062994644,2.0650234586664897
0.018000000000000002,0.5,1,1.036647564707541,-1.036299381939355,-0.00034818276818616056,-1.036299381939355,-0.00034818276818616056,2.073295129415082
0.02,0.5,1,1.0407993338884265,-1.0403660285870575,-0.00043330530136903697,-1.0403660285870575,-0.00043330530136903697,2.081598667776853
0.022,0.5,1,1.0449670208408222,-1.044438514100694,-0.0005285067401281524,-1.044438514100694,-0.0005285067401281524,2.0899340416816443
0.024,0.5,1,1.049150607668032,-1.0485165946774315,-0.0006340129906004357,-1.0485165946774315,-0.0006340129906004357,2.098301215336064
0.026000000000000002,0.5,1,1.0533500745771853,-1.0526000212245679,-0.0007500533526175512,-1.0526000212245679,-0.0007500533526175512,2.1067001491543706
0.028,0.5,1,1.0575653998443264,-1.0566885392975671,-0.0008768605467591458,-1.0566885392975671,-0.0008768605467591458,2.115130799688653
0.03,0.5,1,1.0617965597791463,-1.0607818890382232,-0.0010146707409229472,-1.0607818890382232,-0.0010146707409229472,2.1235931195582927
0.032,0.5,1,1.0660435286893635,-1.0648798051129815,-0.001163723576381921,-1.0648798051129815,-0.001163723576381921,2.132087057378727
0.034,0.5,1,1.0703062788447542,-1.0689820166514563,-0.0013242621932978876,-1.0689820166514563,-0.0013242621932978876,2.1406125576895083
0.036000000000000004,0.5,1,1.0745847804408377,-1.0730882471851775,-0.0014965332556601883,-1.0730882471851775,-0.0014965332556601883,2.1491695608816754
0.038,0.5,1,1.078879001562217,-1.0771982145865997,-0.0016807869756171633,-1.0771982145865997,-0.0016807869756171633,2.157758003124434
0.04,0.5,1,1.0831889081455806,-1.0813116310084132,-0.0018772771371673841,-1.0813116310084132,-0.0018772771371673841,2.166377816291161
0.042,0.5,1,1.0875144639423706,-1.0854282028231939,-0.002086261119176732,-1.0854282028231939,-0.002086261119176732,2.1750289278847412
0.044,0.5,1,1.0918556304811153,-1.0895476305634288,-0.0023079999176865754,-1.0895476305634288,-0.0023079999176865754,2.1837112609622307
0.046,0.5,1,1.09621236702944,-1.0936696088619624,-0.002542758167477456,-1.0936696088619624,-0.002542758167477456,2.19242473405888
0.048,0.5,1,1.1005846305557514,-1.0977938263928995,-0.0027908041628518037,-1.0977938263928995,-0.0027908041628518037,2.2011692611115024
0.05,0.5,1,1.1049723756906078,-1.1019199658130094,-0.003052409877598365,-1.1019199658130094,-0.003052409877598365,2.2099447513812156
0.052000000000000005,0.5,1,1.1093755546877773,-1.106047703703677,-0.0033278509841001527,-1.106047703703677,-0.0033278509841001527,2.2187511093755545
0.054,0.5,1,1.1137941173849897,-1.1101767105134428,-0.003617406871546826,-1.1101767105134428,-0.003617406871546826,2.2275882347699794
0.056,0.5,1,1.1182280111643885,-1.114306650501177,-0.003921360663211554,-1.114306650501177,-0.003921360663211554,2.236456022328777
0.058,0.5,1,1.1226771809126916,-1.11843718167994,-0.004239999232751519,-1.11843718167994,-0.004239999232751519,2.2453543618253833
0.06,0.5,1,1.127141568981064,-1.1225679557615735,-0.004573613219490341,-1.1225679557615735,-0.004573613219490341,2.254283137962128
0.062,0.5,1,1.131621115144712,-1.1266986181020722,-0.004922497042639793,-1.1266986181020722,-0.004922497042639793,2.263242230289424
0.064,0.5,1,1.1361157565622049,-1.1308288076477877,-0.0052869489144173,-1.1308288076477877,-0.0052869489144173,2.27223151312441
0.066,0.5,1,1.1406254277345356,-1.1349581568825209,-0.005667270852014844,-1.1349581568825209,-0.005667270852014844,2.2812508554690716
0.068,0.5,1,1.1451500604639235,-1.1390862917755498,-0.006063768688373961,-1.1390862917755498,-0.006063768688373961,2.2903001209278475
0.07,0.5,1,1.1496895838123709,-1.1432128317306502,-0.006476752081720647,-1.1432128317306502,-0.006476752081720647,2.2993791676247417
0.07200000000000001,0.5,1,1.154243924059984,-1.147337389536171,-0.00690653452381316,-1.147337389536171,-0.00690653452381316,2.308487848119968
0.074,0.5,1,1.1588130046630634,-1.1514595713162088,-0.007353433346854672,-1.1514595713162088,-0.007353433346854672,2.3176260093261267
0.076,0.5,1,1.16339674621198,-1.155578976482958,-0.007817769729022091,-1.155578976482958,-0.007817769729022091,2.32679349242396
0.078,0.5,1,1.1679950663888394,-1.1596951976902783,-0.008299868698561145,-1.1596951976902783,-0.008299868698561145,2.335990132777679
0.08,0.5,1,1.172607879924953,-1.1638078207885558,-0.008800059136397398,-1.1638078207885558,-0.008800059136397398,2.345215759849906
0.082,0.5,1,1.1772350985581226,-1.167916424780911,-0.009318673777211574,-1.167916424780911,-0.009318673777211574,2.354470197116245
0.084,0.5,1,1.1818766309897508,-1.172020581780824,-0.00985604920892705,-1.172020581780824,-0.00985604920892705,2.363753261979502
0.08600000000000001,0.5,1,1.1865323828417926,-1.1761198569712363,-0.010412525870556319,-1.1761198569712363,-0.010412525870556319,2.3730647656835853
0.088,0.5,1,1.191202256613555,-1.1802138085652025,-0.01098844804835253,-1.1802138085652025,-0.01098844804835253,2.38240451322711
0.09,0.5,1,1.1958861516383639,-1.1843019877681524,-0.011584163870211368,-1.1843019877681524,-0.011584163870211368,2.3917723032767277
0.092,0.5,1,1.200583964040109,-1.1883839387418413,-0.012200025298267655,-1.1883839387418413,-0.012200025298267655,2.401167928080218
0.094,0.5,1,1.2052955866896797,-1.1924591985700492,-0.01283638811963042,-1.1924591985700492,-0.01283638811963042,2.4105911733793595
0.096,0.5,1,1.2100209091613103,-1.1965272972261112,-0.01349361193519931,-1.1965272972261112,-0.01349361193519931,2.4200418183226207
0.098,0.5,1,1.2147598176888466,-1.200587757542342,-0.014172060146504508,-1.200587757542342,-0.014172060146504508,2.429519635377693
0.1,0.5,1,1.2195121951219512,-1.2046400951814398,-0.014872099940511604,-1.2046400951814398,-0.014872099940511604,2.439024390243903
0.10200000000000001,0.5,1,1.2242779208822636,-1.2086838186099316,-0.015594102272332143,-1.2086838186099316,-0.015594102272332143,2.4485558417645272
0.10400000000000001,0.5,1,1.229056870919531,-1.2127184290737512,-0.016338441845779973,-1.2127184290737512,-0.016338441845779973,2.458113741839062
0.106,0.5,1,1.2338489176677292,-1.2167434205760164,-0.017105497091712732,-1.2167434205760164,-0.017105497091712732,2.4676978353354584
0.108,0.5,1,1.238653930001189,-1.2207582798570915,-0.0178956501440974,-1.2207582798570915,-0.0178956501440974,2.477307860002378
0.11,0.5,1,1.2434717731907485,-1.2247624863770106,-0.018709286813737944,-1.2247624863770106,-0.018709286813737944,2.486943546381497
0.112,0.5,1,1.2483023088599505,-1.2287555123003477,-0.019546796559602966,-1.2287555123003477,-0.019546796559602966,2.4966046177199015
0.114,0.5,1,1.2531453949413027,-1.2327368224836124,-0.020408572457690267,-1.2327368224836124,-0.020408572457690267,2.5062907898826055
0.116,0.5,1,1.2580008856326235,-1.2367058744652584,-0.021295011167365173,-1.2367058744652584,-0.021295011167365173,2.516001771265247
0.11800000000000001,0.5,1,1.2628686313534918,-1.240662118458383,-0.022206512895108683,-1.240662118458383,-0.022206512895108683,2.5257372627069836
0.12,0.5,1,1.2677484787018256,-1.2446049973462143,-0.023143481355611423,-1.2446049973462143,-0.023143481355611423,2.5354969574036517
0.122,0.5,1,1.2726402704106046,-1.248533946680456,-0.02410632373014864,-1.248533946680456,-0.02410632373014864,2.545280540821209
0.124,0.5,1,1.277543845304771,-1.252448394682599,-0.02509545062217172,-1.252448394682599,-0.02509545062217172,2.5550876906095414
0.126,0.5,1,1.282459038258318,-1.2563477622482675,-0.02611127601005071,-1.2563477622482675,-0.02611127601005071,2.564918076516636
0.128,0.5,1,1.2873856801516026,-1.2602314629546998,-0.02715421719690288,-1.2602314629546998,-0.02715421719690288,2.574771360303205
0.13,0.5,1,1.2923235978288963,-1.2640989030714547,-0.02822469475744165,-1.2640989030714547,-0.02822469475744165,2.5846471956577926
0.132,0.5,1,1.2972726140562083,-1.267949481574428,-0.029323132481780298,-1.267949481574428,-0.029323132481780298,2.5945452281124166
0.134,0.5,1,1.3022325474793988,-1.2717825901632738,-0.03044995731612488,-1.2717825901632738,-0.03044995731612488,2.6044650949587975
0.136,0.5,1,1.3072032125826154,-1.2755976132823248,-0.031605599300290804,-1.2755976132823248,-0.031605599300290804,2.614406425165231
0.138,0.5,1,1.312184419647075,-1.279393928145098,-0.03279049150197734,-1.279393928145098,-0.03279049150197734,2.62436883929415
0.14,0.5,1,1.3171759747102214,-1.2831709047624864,-0.03400506994773491,-1.2831709047624864,-0.03400506994773491,2.634351949420443
