term,estimate,standard_error,t_statistic,p_value_two_sided,ci_95_lower,ci_95_upper
const,0.10647490828915922,0.0855396927811488,1.2447427016317751,0.2192696208899413,-0.06551417092267518,0.2784639875009936
efficiency_x_tightness,-0.025864642160825714,0.016862474431479785,-1.5338580506630861,0.1316300657097483,-0.05976891930293916,0.008039634981287729
gdp,1.4782404791437509e-06,4.376709782499989e-07,3.3775154227826727,0.0014583846731177884,5.982439991523111e-07,2.3582369591351908e-06
gini,0.00019757690865302712,0.001140784687604599,0.17319386453888672,0.8632273421881348,-0.002096124431870307,0.002491278249176361
median_age,0.001323094895277501,0.0012572990933861416,1.0523310660426541,0.2979166162623179,-0.0012048743589330069,0.0038510641494880087
efficiency,-0.009608169118613324,0.010217187445638223,-0.9403927616807214,0.3517247699699452,-0.030151201292061735,0.010934863054835087
tightness,0.06185335955965446,0.06715512751335954,0.9210519263380094,0.36162952294788264,-0.07317107377477772,0.19687779289408663
