group,n,mean_mh_anxiety_1,sd_mh_anxiety_1,top_two_box_n,top_two_box_proportion
Women,4933,3.0748023515102374,1.1091485241206185,1606,0.32556253800932494
Men,5138,2.8896457765667574,1.141056850850284,1686,0.3281432463993772
All eligible respondents,10071,2.9803395889186772,1.1292846132382717,3292,0.3268791579783537
