outcome,n,r_squared,trump_share_coefficient_per_unit,trump_share_standard_error_per_unit,trump_share_p_value,trump_share_95ci_per_unit,trump_share_iqr,effect_of_iqr_percentage_points,effect_of_iqr_95ci_percentage_points,supports_negative_association_at_0_05
march,155,0.8818997383574781,-20.31370568485951,8.730363453324346,0.02210138164094331,"[-37.64566849157161, -2.9817428781474042]",0.174082788820362,-3.536266536896385,"[-6.553462958019616, -0.5190701157731529]",True
august,155,0.8078849770494703,-15.267644113412887,9.95611291293339,0.12847770902828537,"[-35.03302726486469, 4.497739038038921]",0.174082788820362,-2.6578340659796984,"[-6.098647087087424, 0.7829789551280275]",False
