case,phi,output,wage,capital_return,wage_bill,capital_income,regime,threshold_phi
equal_endowments,0.0,1.0,1.0,0.0,1.0,0.0,region_1_labor_scarce,0.5
equal_endowments,0.001,1.002001999995992,1.002000995987984,1.0040080079959678e-06,1.002000995987984,1.0040080079959678e-06,region_1_labor_scarce,0.5
equal_endowments,0.002,1.0040079999357434,1.0040039678074877,4.032128255739887e-06,1.0040039678074877,4.032128255739887e-06,region_1_labor_scarce,0.5
equal_endowments,0.003,1.0060179996740501,1.0060088910241092,9.108649941013594e-06,1.0060088910241092,9.108649941013594e-06,region_1_labor_scarce,0.5
equal_endowments,0.004,1.0080319989677753,1.0080157409116004,1.6258056175087503e-05,1.0080157409116004,1.6258056175087503e-05,region_1_labor_scarce,0.5
equal_endowments,0.005,1.010049997474875,1.0100244924499397,2.550502493497487e-05,1.0100244924499397,2.550502493497487e-05,region_1_labor_scarce,0.5
equal_endowments,0.006,1.0120719947534187,1.0120351203234061,3.68744300123099e-05,1.0120351203234061,3.68744300123099e-05,region_1_labor_scarce,0.5
equal_endowments,0.007,1.0140979902606029,1.0140475989186442,5.0391341958679105e-05,1.0140475989186442,5.0391341958679105e-05,region_1_labor_scarce,0.5
equal_endowments,0.008,1.0161279833517591,1.016061902322732,6.608102902723283e-05,1.016061902322732,6.608102902723283e-05,region_1_labor_scarce,0.5
equal_endowments,0.009,1.0181619732793572,1.0180780043212467,8.396895811040126e-05,1.0180780043212467,8.396895811040126e-05,region_1_labor_scarce,0.5
equal_endowments,0.01,1.0201999591920017,1.020095878396328,0.00010408079567353619,1.020095878396328,0.00010408079567353619,region_1_labor_scarce,0.5
equal_endowments,0.011,1.022241940133423,1.0221154977247386,0.00012644240868429712,1.0221154977247386,0.00012644240868429712,region_1_labor_scarce,0.5
equal_endowments,0.012,1.0242879150414632,1.0241368351759257,0.00015107986553759823,1.0241368351759257,0.00015107986553759823,region_1_labor_scarce,0.5
equal_endowments,0.013,1.026337882747055,1.026159863310079,0.00017801943697592858,1.026159863310079,0.00017801943697592858,region_1_labor_scarce,0.5
equal_endowments,0.014,1.028391841973196,1.0281845543761914,0.00020728759700485656,1.0281845543761914,0.00020728759700485656,region_1_labor_scarce,0.5
equal_endowments,0.015,1.0304497913339172,1.0302108803101138,0.00023891102380352555,1.0302108803101138,0.00023891102380352555,region_1_labor_scarce,0.5
equal_endowments,0.016,1.032511729333245,1.032238812732615,0.00027291660062994644,1.032238812732615,0.00027291660062994644,region_1_labor_scarce,0.5
equal_endowments,0.017,1.034577654364159,1.0342683229474379,0.00030933141672088744,1.0342683229474379,0.00030933141672088744,region_1_labor_scarce,0.5
equal_endowments,0.018,1.036647564707541,1.036299381939355,0.0003481827681861604,1.036299381939355,0.0003481827681861604,region_1_labor_scarce,0.5
equal_endowments,0.019,1.0387214585311233,1.0383319603722263,0.0003894981588971017,1.0383319603722263,0.0003894981588971017,region_1_labor_scarce,0.5
equal_endowments,0.02,1.0407993338884265,1.0403660285870575,0.00043330530136903697,1.0403660285870575,0.00043330530136903697,region_1_labor_scarce,0.5
equal_endowments,0.021,1.042881188717694,1.0424015566000564,0.00047963211763752273,1.0424015566000564,0.00047963211763752273,region_1_labor_scarce,0.5
equal_endowments,0.022,1.0449670208408222,1.044438514100694,0.0005285067401281524,1.044438514100694,0.0005285067401281524,region_1_labor_scarce,0.5
equal_endowments,0.023,1.047056827962281,1.0464768704497613,0.0005799575125197073,1.0464768704497613,0.0005799575125197073,region_1_labor_scarce,0.5
equal_endowments,0.024,1.049150607668032,1.0485165946774315,0.0006340129906004357,1.0485165946774315,0.0006340129906004357,region_1_labor_scarce,0.5
equal_endowments,0.025,1.0512483574244416,1.0505576554813243,0.0006907019431172416,1.0505576554813243,0.0006907019431172416,region_1_labor_scarce,0.5
equal_endowments,0.026,1.0533500745771853,1.0526000212245679,0.000750053352617551,1.0526000212245679,0.000750053352617551,region_1_labor_scarce,0.5
equal_endowments,0.027,1.0554557563501497,1.054643659933866,0.0008120964162836338,1.054643659933866,0.0008120964162836338,region_1_labor_scarce,0.5
equal_endowments,0.028,1.0575653998443264,1.0566885392975671,0.0008768605467591458,1.0566885392975671,0.0008768605467591458,region_1_labor_scarce,0.5
equal_endowments,0.029,1.059679002036703,1.0587346266637352,0.00094437537296766,1.0587346266637352,0.00094437537296766,region_1_labor_scarce,0.5
equal_endowments,0.03,1.0617965597791463,1.0607818890382232,0.0010146707409229472,1.0607818890382232,0.0010146707409229472,region_1_labor_scarce,0.5
equal_endowments,0.031,1.0639180697972812,1.0628302930827505,0.0010877767145307667,1.0628302930827505,0.0010877767145307667,region_1_labor_scarce,0.5
equal_endowments,0.032,1.0660435286893635,1.0648798051129815,0.001163723576381921,1.0648798051129815,0.001163723576381921,region_1_labor_scarce,0.5
equal_endowments,0.033,1.0681729329251488,1.0669303910966124,0.001242541828536333,1.0669303910966124,0.001242541828536333,region_1_labor_scarce,0.5
equal_endowments,0.034,1.0703062788447542,1.0689820166514563,0.0013242621932978876,1.0689820166514563,0.0013242621932978876,region_1_labor_scarce,0.5
equal_endowments,0.035,1.072443562657515,1.071034647043535,0.0014089156139797908,1.071034647043535,0.0014089156139797908,region_1_labor_scarce,0.5
equal_endowments,0.036,1.0745847804408377,1.0730882471851775,0.0014965332556601879,1.0730882471851775,0.0014965332556601879,region_1_labor_scarce,0.5
equal_endowments,0.037,1.0767299281390448,1.0751427816331172,0.0015871465059277775,1.0751427816331172,0.0015871465059277775,region_1_labor_scarce,0.5
equal_endowments,0.038,1.078879001562217,1.0771982145865997,0.0016807869756171633,1.0771982145865997,0.0016807869756171633,region_1_labor_scarce,0.5
equal_endowments,0.039,1.081031996385029,1.079254509885495,0.0017774864995336742,1.079254509885495,0.0017774864995336742,region_1_labor_scarce,0.5
equal_endowments,0.04,1.0831889081455806,1.0813116310084132,0.0018772771371673841,1.0813116310084132,0.0018772771371673841,region_1_labor_scarce,0.5
equal_endowments,0.041,1.085349732244221,1.0833695410708248,0.0019801911733960545,1.0833695410708248,0.0019801911733960545,region_1_labor_scarce,0.5
equal_endowments,0.042,1.0875144639423706,1.0854282028231939,0.002086261119176732,1.0854282028231939,0.002086261119176732,region_1_labor_scarce,0.5
equal_endowments,0.043,1.0896830983613346,1.0874875786491087,0.0021955197122257076,1.0874875786491087,0.0021955197122257076,region_1_labor_scarce,0.5
equal_endowments,0.044,1.0918556304811153,1.0895476305634288,0.0023079999176865754,1.0895476305634288,0.0023079999176865754,region_1_labor_scarce,0.5
equal_endowments,0.045,1.0940320551392155,1.0916083202104294,0.0024237349287860744,1.0916083202104294,0.0024237349287860744,region_1_labor_scarce,0.5
equal_endowments,0.046,1.09621236702944,1.0936696088619624,0.002542758167477456,1.0936696088619624,0.002542758167477456,region_1_labor_scarce,0.5
equal_endowments,0.047,1.0983965607006891,1.0957314574156178,0.0026651032850710577,1.0957314574156178,0.0026651032850710577,region_1_labor_scarce,0.5
equal_endowments,0.048,1.1005846305557514,1.0977938263928995,0.0027908041628518037,1.0977938263928995,0.0027908041628518037,region_1_labor_scarce,0.5
equal_endowments,0.049,1.1027765708500865,1.099856675937403,0.0029198949126833184,1.099856675937403,0.0029198949126833184,region_1_labor_scarce,0.5
equal_endowments,0.05,1.1049723756906078,1.1019199658130094,0.003052409877598365,1.1019199658130094,0.003052409877598365,region_1_labor_scarce,0.5
equal_endowments,0.051,1.1071720390344577,1.1039836554020825,0.003188383632375288,1.1039836554020825,0.003188383632375288,region_1_labor_scarce,0.5
equal_endowments,0.052,1.1093755546877773,1.106047703703677,0.0033278509841001514,1.106047703703677,0.0033278509841001514,region_1_labor_scarce,0.5
equal_endowments,0.053,1.1115829163044761,1.108112069331762,0.003470846972714279,1.108112069331762,0.003470846972714279,region_1_labor_scarce,0.5
equal_endowments,0.054,1.1137941173849897,1.1101767105134428,0.003617406871546826,1.1101767105134428,0.003617406871546826,region_1_labor_scarce,0.5
equal_endowments,0.055,1.1160091512750405,1.1122415850872083,0.0037675661878321495,1.1122415850872083,0.0037675661878321495,region_1_labor_scarce,0.5
equal_endowments,0.056,1.1182280111643885,1.114306650501177,0.003921360663211554,1.114306650501177,0.003921360663211554,region_1_labor_scarce,0.5
equal_endowments,0.057,1.1204506900855802,1.116371863811361,0.0040788262742191585,1.116371863811361,0.0040788262742191585,region_1_labor_scarce,0.5
equal_endowments,0.058,1.1226771809126916,1.11843718167994,0.004239999232751519,1.11843718167994,0.004239999232751519,region_1_labor_scarce,0.5
equal_endowments,0.059,1.1249074763600693,1.1205025603735486,0.004404915986520684,1.1205025603735486,0.004404915986520684,region_1_labor_scarce,0.5
equal_endowments,0.06,1.127141568981064,1.1225679557615735,0.004573613219490341,1.1225679557615735,0.004573613219490341,region_1_labor_scarce,0.5
