term,estimate,std_error,z,p_value_two_sided,ci_95_low,ci_95_high
Intercept,29797.034945237636,3283.572244123824,9.074578760543934,1.141180591403923e-19,23361.23334675494,36232.83654372033
L_IMS,633.2452155345593,82.32492572005664,7.692022920104296,1.4482666491806065e-14,471.8883611232483,794.6020699458703
L_EXS,-388.2008452478077,76.44037168026325,-5.0784792998074915,3.804678760116894e-07,-538.0239737411237,-238.37771675449173
L_unemp,-191.21796727683204,27.71988152413375,-6.898224550864405,5.2656468655558884e-12,-245.54893506413418,-136.8869994895299
DUM70to74,587.3522282544664,565.2888462373654,1.0390302801195488,0.2987906538947419,-520.6139103707699,1695.3183668797026
DUM75to79,834.3204231282231,669.0808867787823,1.2469649628536972,0.21241034488536936,-477.0781149581902,2145.7189612146362
DUM80to84,1450.844116374544,754.6058937567345,1.9226514507482215,0.054523837814855924,-28.183435388655653,2929.8716681377437
DUM85to89,2421.209911181308,818.6664688050927,2.9575046779615293,0.003101400430626995,816.6236323233265,4025.7961900392897
DUM90to94,2929.77486446788,875.4723074608403,3.346507753015281,0.0008183639101874308,1213.849141844633,4645.700587091127
DUM95to99,3799.646528289218,919.3638135669264,4.132908509360878,3.582013386810013e-05,1997.6934536980425,5601.599602880394
DUM0to4,5104.957878974201,940.6454479357704,5.427079767596749,5.728353183894059e-08,3261.292801020091,6948.622956928311
DUM5to9,6113.456832368869,954.9789764704625,6.401666406273979,1.5369018133012864e-10,4241.698038486763,7985.215626250975
DUM10to14,7536.221717599231,959.3771610631468,7.855327418100995,3.987291680833373e-15,5655.842481915463,9416.600953283
DUM15to18,8404.513186780503,967.3585444329182,8.68810559967439,3.685331522460966e-18,6508.490439691984,10300.535933869023
country_1,3485.007062941776,5021.07114722412,0.6940764153219475,0.48763428823032984,-6356.292385617499,13326.30651150105
country_10,-4803.266054970012,3516.0575246736594,-1.3660942749836904,0.17190937499788495,-11694.738803330383,2088.2066933903598
country_11,-10382.410825375013,3493.431654226748,-2.971980520303925,0.002958854564769789,-17229.536867659437,-3535.2847830905866
country_12,8241.02289720349,3574.282461607238,2.3056439958854766,0.021130532806950462,1235.4292724533025,15246.616521953676
country_13,25055.82405043175,11440.760455055353,2.1900488301335144,0.02852069566688429,2631.9335585232584,47479.71454234024
country_14,-3700.3903526449944,3462.909647904796,-1.0685783716256887,0.2852596986147198,-10487.693262538394,3086.912557248406
country_15,4573.303120947646,3814.3408701701705,1.1989759899837205,0.2305372817519985,-2902.8049845858886,12049.411226481181
country_16,-3845.6699888686776,4569.113667117393,-0.8416665176322636,0.3999746448587409,-12801.132776418768,5109.792798681412
country_17,-6904.015077309294,6333.546416185798,-1.0900709687175616,0.27568188344430267,-19317.766053033458,5509.7358984148705
country_18,-13058.861878401545,3448.309416950121,-3.7870330934372873,0.00015245680157859734,-19817.548335623782,-6300.175421179309
country_19,-8052.778690720688,4073.7523154095325,-1.976747250995093,0.04807020687283445,-16037.333228923371,-68.22415251800521
country_2,6996.767875258647,3283.602319244297,2.130820725229879,0.033103914261774954,560.9073295398248,13432.62842097747
country_20,66052.8790872132,3490.2047920158816,18.925215860775378,7.069928732488157e-80,59212.07769486206,72893.68047956433
country_21,10769.052145102341,3314.1461474770263,3.2494198100770366,0.001156406772328554,4273.32569604737,17264.778594157313
country_22,-5672.835084402106,3463.367312149012,-1.6379536367692182,0.10143136574599156,-12461.03501621417,1115.3648474099573
country_23,21820.194402804886,3345.094098639129,6.523043525646082,6.889485917031072e-11,15263.809969472193,28376.578836137578
country_24,-12674.55120230525,3659.0977194015595,-3.4638460555729997,0.0005325111639237489,-19846.382732332306,-5502.719672278194
country_25,-4938.050396373046,3268.7800190081084,-1.510670760240228,0.1308723556973199,-11344.859233628938,1468.7584408828461
country_26,-5860.0308936782285,3360.33175819544,-1.7438846266849475,0.08117920983768656,-12446.281139741292,726.2193523848346
country_27,874.2970342663582,3288.342719940985,0.2658777106669858,0.790333391742929,-5570.854696817972,7319.4487653506885
country_28,10763.379072780383,3382.6648855504413,3.181922962205853,0.0014630072786201566,4133.355897101517,17393.40224845925
country_29,27557.62544498324,3304.044241683925,8.340573984244939,7.393078991909255e-17,21081.698731282748,34033.552158683735
country_3,-798.9453015390274,4145.039896168531,-0.19274731282503038,0.8471568678771617,-8923.223498029349,7325.332894951294
country_30,3874.1004614069952,3285.2874065402343,1.179227258380674,0.23830769466171875,-2565.062855411864,10313.263778225853
country_31,10915.7995863452,4753.148352793197,2.29654089797776,0.02164497351991129,1599.6288148705335,20231.970357819868
country_4,-7184.484821763105,3417.715192369555,-2.102130931741562,0.03554180798049891,-13883.206598807432,-485.76304471877756
country_5,11206.40827500366,3304.434311839135,3.3913242683788005,0.000695557526347682,4729.717023798956,17683.099526208363
country_6,-10267.68528707248,3529.360783244715,-2.909219520944779,0.0036233234320704297,-17185.232422232122,-3350.138151912838
country_7,7473.84572319294,3396.043833576072,2.2007506644350046,0.02775367995502786,817.5998093838389,14130.09163700204
country_8,4549.108238121134,3281.749035789029,1.3861840709057736,0.16569070420005882,-1883.1198720253633,10981.33634826763
country_9,7783.405840264047,3658.0859514130943,2.1277263420388928,0.0333597795376595,613.5573754943816,14953.254305033712
